name;common_name;iso_639_1;iso_639_2b;iso_639_2t;iso_639_3;is_common;type
Tinoc Kallahan;Tinoc Kallahan;;;;tne;false;living
Tobanga;Tobanga;;;;tng;false;living
Maiani;Maiani;;;;tnh;false;living
Tandia;Tandia;;;;tni;false;living
Kwamera;Kwamera;;;;tnk;false;living
Lenakel;Lenakel;;;;tnl;false;living
Tabla;Tabla;;;;tnm;false;living
North Tanna;North Tanna;;;;tnn;false;living
Toromono;Toromono;;;;tno;false;living
Whitesands;Whitesands;;;;tnp;false;living
Taino;Taino;;;;tnq;false;extinct
Bedik;Bedik;;;;tnr;false;living
Tenis;Tenis;;;;tns;false;living
Tontemboan;Tontemboan;;;;tnt;false;living
Tay Khang;Tay Khang;;;;tnu;false;living
Tangchangya;Tangchangya;;;;tnv;false;living
Tonsawang;Tonsawang;;;;tnw;false;living
Tanema;Tanema;;;;tnx;false;living
Tongwe;Tongwe;;;;tny;false;living
Tonga (Thailand);Tonga (Thailand);;;;tnz;false;living
Toba;Toba;;;;tob;false;living
Coyutla Totonac;Coyutla Totonac;;;;toc;false;living
Toma;Toma;;;;tod;false;living
Tomedes;Tomedes;;;;toe;false;extinct
Gizrra;Gizrra;;;;tof;false;living
Tonga (Nyasa);Tonga (Nyasa);;tog;tog;tog;false;living
Gitonga;Gitonga;;;;toh;false;living
Tonga (Zambia);Tonga (Zambia);;;;toi;false;living
Tojolabal;Tojolabal;;;;toj;false;living
Tolowa;Tolowa;;;;tol;false;living
Tombulu;Tombulu;;;;tom;false;living
Tonga (Tonga Islands);Tonga (Tonga Islands);to;ton;ton;ton;true;living
Xicotepec De Juárez Totonac;Xicotepec De Juárez Totonac;;;;too;false;living
Papantla Totonac;Papantla Totonac;;;;top;false;living
Toposa;Toposa;;;;toq;false;living
Togbo-Vara Banda;Togbo-Vara Banda;;;;tor;false;living
Highland Totonac;Highland Totonac;;;;tos;false;living
Tho;Tho;;;;tou;false;living
Upper Taromi;Upper Taromi;;;;tov;false;living
Jemez;Jemez;;;;tow;false;living
Tobian;Tobian;;;;tox;false;living
Topoiyo;Topoiyo;;;;toy;false;living
To;To;;;;toz;false;living
Taupota;Taupota;;;;tpa;false;living
Azoyú Me'phaa;Azoyú Me'phaa;;;;tpc;false;living
Tippera;Tippera;;;;tpe;false;living
Tarpia;Tarpia;;;;tpf;false;living
Kula;Kula;;;;tpg;false;living
Tok Pisin;Tok Pisin;;tpi;tpi;tpi;false;living
Tapieté;Tapieté;;;;tpj;false;living
Tupinikin;Tupinikin;;;;tpk;false;extinct
Tlacoapa Me'phaa;Tlacoapa Me'phaa;;;;tpl;false;living
Tampulma;Tampulma;;;;tpm;false;living
Tupinambá;Tupinambá;;;;tpn;false;extinct
Tai Pao;Tai Pao;;;;tpo;false;living
Pisaflores Tepehua;Pisaflores Tepehua;;;;tpp;false;living
Tukpa;Tukpa;;;;tpq;false;living
Tuparí;Tuparí;;;;tpr;false;living
Tlachichilco Tepehua;Tlachichilco Tepehua;;;;tpt;false;living
Tampuan;Tampuan;;;;tpu;false;living
Tanapag;Tanapag;;;;tpv;false;living
Tupí;Tupí;;;;tpw;false;extinct
Acatepec Me'phaa;Acatepec Me'phaa;;;;tpx;false;living
Trumai;Trumai;;;;tpy;false;living
Tinputz;Tinputz;;;;tpz;false;living
Tembé;Tembé;;;;tqb;false;living
